SEASON_ID,Player_ID,Game_ID,GAME_DATE,Opponent_x,Win/Loss_x,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_x,PLUS_MINUS,VIDEO_AVAILABLE,Date,Home/Away_x,Opponent_y,PTS_y,Win/Loss_y,Home/Away_y
22024,1630245,0022400745,"FEB 08, 2025",CHI vs. GSW,L,30,4,6,0.667,1,3,0.333,1,1,1.0,0,1,1,4,1,0,4,4,10,-13,1,2025-02-08,Home,CHI vs. GSW,111,L,Home
22024,1630245,0022400723,"FEB 05, 2025",CHI @ MIN,L,36,5,10,0.5,1,5,0.2,0,0,0.0,0,0,0,4,2,0,2,3,11,-8,1,2025-02-05,Away,CHI @ MIN,108,L,Away
22024,1630245,0022400714,"FEB 04, 2025",CHI vs. MIA,W,29,8,11,0.727,2,2,1.0,3,3,1.0,0,2,2,9,1,1,1,4,21,3,1,2025-02-04,Home,CHI vs. MIA,133,W,Home
22024,1630245,0022400695,"FEB 02, 2025",CHI @ DET,L,32,6,9,0.667,2,5,0.4,0,0,0.0,1,2,3,5,0,1,3,3,14,-11,1,2025-02-02,Away,CHI @ DET,119,L,Away
22024,1630245,0022400682,"JAN 31, 2025",CHI @ TOR,W,35,2,9,0.222,2,6,0.333,0,0,0.0,0,4,4,8,1,1,1,1,6,10,1,2025-01-31,Away,CHI @ TOR,122,W,Away
22024,1630245,0022400666,"JAN 29, 2025",CHI @ BOS,L,32,5,13,0.385,2,5,0.4,0,0,0.0,1,3,4,4,1,0,1,2,12,-23,1,2025-01-29,Away,CHI @ BOS,100,L,Away
22024,1630245,0022400655,"JAN 27, 2025",CHI vs. DEN,W,34,6,13,0.462,4,7,0.571,1,2,0.5,2,0,2,2,2,1,2,1,17,20,1,2025-01-27,Home,CHI vs. DEN,129,W,Home
22024,1630245,0022400642,"JAN 25, 2025",CHI vs. PHI,L,28,3,10,0.3,2,5,0.4,0,0,0.0,1,1,2,2,0,0,2,2,8,-10,1,2025-01-25,Home,CHI vs. PHI,97,L,Home
22024,1630245,0022400628,"JAN 23, 2025",CHI @ GSW,L,23,4,6,0.667,2,4,0.5,3,4,0.75,0,2,2,2,0,0,0,2,13,-26,1,2025-01-23,Away,CHI @ GSW,106,L,Away
22024,1630245,0022400597,"JAN 19, 2025",CHI @ POR,L,32,4,8,0.5,1,3,0.333,3,4,0.75,0,1,1,4,1,0,1,3,12,-11,1,2025-01-19,Away,CHI @ POR,102,L,Away
22024,1630245,0022400584,"JAN 17, 2025",CHI vs. CHA,L,28,4,8,0.5,1,3,0.333,0,0,0.0,1,4,5,4,1,0,0,4,9,4,1,2025-01-17,Home,CHI vs. CHA,123,L,Home
22024,1630245,0022400563,"JAN 15, 2025",CHI vs. ATL,L,25,4,7,0.571,0,1,0.0,1,1,1.0,1,2,3,2,2,0,1,1,9,12,1,2025-01-15,Home,CHI vs. ATL,94,L,Home
22024,1630245,0022400398,"DEC 23, 2024",CHI vs. MIL,L,34,2,9,0.222,0,5,0.0,1,2,0.5,0,4,4,11,2,0,4,2,5,-19,1,2024-12-23,Home,CHI vs. MIL,91,L,Home
22024,1630245,0022400381,"DEC 21, 2024",CHI vs. BOS,L,32,3,7,0.429,1,4,0.25,0,0,0.0,1,3,4,6,1,0,1,1,7,-10,1,2024-12-21,Home,CHI vs. BOS,98,L,Home
22024,1630245,0022400363,"DEC 19, 2024",CHI @ BOS,W,38,7,14,0.5,3,5,0.6,0,0,0.0,1,7,8,4,2,0,1,1,17,17,1,2024-12-19,Away,CHI @ BOS,117,W,Away
22024,1630245,0022401223,"DEC 16, 2024",CHI @ TOR,W,40,5,15,0.333,1,6,0.167,1,2,0.5,0,5,5,5,1,1,0,3,12,-6,1,2024-12-16,Away,CHI @ TOR,122,W,Away
22024,1630245,0022401212,"DEC 13, 2024",CHI vs. CHA,W,32,8,12,0.667,3,6,0.5,0,0,0.0,0,3,3,5,1,1,1,3,19,4,1,2024-12-13,Home,CHI vs. CHA,109,W,Home
22024,1630245,0022400347,"DEC 08, 2024",CHI vs. PHI,L,35,3,6,0.5,2,4,0.5,2,2,1.0,0,3,3,5,0,0,3,2,10,-16,1,2024-12-08,Home,CHI vs. PHI,100,L,Home
22024,1630245,0022400336,"DEC 06, 2024",CHI vs. IND,L,32,6,8,0.75,3,5,0.6,0,0,0.0,0,2,2,5,2,2,1,3,15,1,1,2024-12-06,Home,CHI vs. IND,123,L,Home
22024,1630245,0022400331,"DEC 05, 2024",CHI @ SAS,W,35,9,13,0.692,3,3,1.0,6,6,1.0,3,7,10,11,3,0,1,3,27,23,1,2024-12-05,Away,CHI @ SAS,139,W,Away
22024,1630245,0022400317,"DEC 02, 2024",CHI vs. BKN,W,30,7,13,0.538,1,5,0.2,1,1,1.0,1,1,2,6,1,1,1,1,16,24,1,2024-12-02,Home,CHI vs. BKN,128,W,Home
22024,1630245,0022400047,"NOV 29, 2024",CHI vs. BOS,L,32,5,11,0.455,1,4,0.25,2,2,1.0,0,1,1,5,1,0,1,4,13,-15,1,2024-11-29,Home,CHI vs. BOS,129,L,Home
22024,1630245,0022400289,"NOV 27, 2024",CHI @ ORL,L,31,10,12,0.833,1,3,0.333,0,2,0.0,1,3,4,2,1,0,0,1,21,-19,1,2024-11-27,Away,CHI @ ORL,119,L,Away
22024,1630245,0022400035,"NOV 26, 2024",CHI @ WAS,W,30,4,10,0.4,1,4,0.25,3,4,0.75,0,3,3,3,2,1,2,1,12,22,1,2024-11-26,Away,CHI @ WAS,127,W,Away
22024,1630245,0022400266,"NOV 23, 2024",CHI vs. MEM,L,29,3,7,0.429,2,4,0.5,0,2,0.0,0,1,1,5,0,0,1,2,8,-25,1,2024-11-23,Home,CHI vs. MEM,131,L,Home
22024,1630245,0022400030,"NOV 22, 2024",CHI vs. ATL,W,38,8,10,0.8,2,3,0.667,2,2,1.0,1,2,3,8,2,0,2,3,20,1,1,2024-11-22,Home,CHI vs. ATL,136,W,Home
22024,1630245,0022400253,"NOV 20, 2024",CHI @ MIL,L,32,4,7,0.571,0,1,0.0,0,0,0.0,0,3,3,3,1,0,3,3,8,-18,1,2024-11-20,Away,CHI @ MIL,106,L,Away
22024,1630245,0022400244,"NOV 18, 2024",CHI @ DET,W,33,4,12,0.333,0,2,0.0,1,2,0.5,1,0,1,1,0,1,0,0,9,8,1,2024-11-18,Away,CHI @ DET,122,W,Away
22024,1630245,0022400241,"NOV 17, 2024",CHI vs. HOU,L,24,4,10,0.4,1,5,0.2,0,0,0.0,0,2,2,6,0,0,1,2,9,-17,1,2024-11-17,Home,CHI vs. HOU,107,L,Home
22024,1630245,0022400013,"NOV 15, 2024",CHI @ CLE,L,26,6,9,0.667,2,3,0.667,1,2,0.5,1,4,5,4,1,1,2,5,15,-17,1,2024-11-15,Away,CHI @ CLE,126,L,Away
22024,1630245,0022400219,"NOV 13, 2024",CHI @ NYK,W,25,5,8,0.625,2,3,0.667,4,4,1.0,0,3,3,6,2,1,1,4,16,-4,1,2024-11-13,Away,CHI @ NYK,124,W,Away
22024,1630245,0022400212,"NOV 11, 2024",CHI vs. CLE,L,31,2,8,0.25,1,4,0.25,5,6,0.833,0,3,3,4,0,0,0,1,10,-21,1,2024-11-11,Home,CHI vs. CLE,113,L,Home
22024,1630245,0022400198,"NOV 09, 2024",CHI @ ATL,W,31,7,10,0.7,2,3,0.667,3,3,1.0,0,2,2,4,0,1,2,1,19,11,1,2024-11-09,Away,CHI @ ATL,125,W,Away
22024,1630245,0022400181,"NOV 07, 2024",CHI vs. MIN,L,33,5,11,0.455,1,3,0.333,2,2,1.0,2,1,3,2,1,0,1,4,13,-20,1,2024-11-07,Home,CHI vs. MIN,119,L,Home
22024,1630245,0022400176,"NOV 06, 2024",CHI @ DAL,L,25,2,13,0.154,2,10,0.2,0,0,0.0,1,4,5,4,0,0,2,3,6,-31,1,2024-11-06,Away,CHI @ DAL,99,L,Away
22024,1630245,0022400160,"NOV 04, 2024",CHI vs. UTA,L,35,9,13,0.692,0,2,0.0,7,7,1.0,3,2,5,5,0,1,1,2,25,2,1,2024-11-04,Home,CHI vs. UTA,126,L,Home
22024,1630245,0022400136,"NOV 01, 2024",CHI @ BKN,L,27,3,11,0.273,2,7,0.286,2,2,1.0,0,7,7,3,0,0,3,4,10,-4,1,2024-11-01,Away,CHI @ BKN,112,L,Away
22024,1630245,0022400123,"OCT 30, 2024",CHI vs. ORL,W,29,6,8,0.75,0,1,0.0,0,1,0.0,0,4,4,4,0,1,0,1,12,0,1,2024-10-30,Home,CHI vs. ORL,102,W,Home
22024,1630245,0022400108,"OCT 28, 2024",CHI @ MEM,W,27,4,8,0.5,2,4,0.5,0,0,0.0,2,6,8,4,0,1,0,1,10,0,1,2024-10-28,Away,CHI @ MEM,126,W,Away
22024,1630245,0022400091,"OCT 26, 2024",CHI vs. OKC,L,24,1,11,0.091,1,9,0.111,0,0,0.0,0,5,5,6,0,0,2,4,3,-5,1,2024-10-26,Home,CHI vs. OKC,95,L,Home
22024,1630245,0022400083,"OCT 25, 2024",CHI @ MIL,W,28,1,8,0.125,0,5,0.0,0,0,0.0,0,5,5,5,0,1,1,1,2,10,1,2024-10-25,Away,CHI @ MIL,133,W,Away
22024,1630245,0022400069,"OCT 23, 2024",CHI @ NOP,L,25,4,6,0.667,0,2,0.0,0,0,0.0,0,4,4,3,0,0,2,2,8,-13,1,2024-10-23,Away,CHI @ NOP,111,L,Away
