SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22024,1610612741,CHI,Chicago Bulls,0022400695,2025-02-02,CHI @ DET,L,241,119,41,89,0.461,19,52,0.365,18,20,0.9,11,33,44,28,7,4,19,11,-8.0
22024,1610612741,CHI,Chicago Bulls,0022400682,2025-01-31,CHI @ TOR,W,240,122,45,89,0.506,18,40,0.45,14,17,0.824,9,43,52,34,4,9,10,18,16.0
22024,1610612741,CHI,Chicago Bulls,0022400666,2025-01-29,CHI @ BOS,L,242,100,37,92,0.402,15,49,0.306,11,12,0.917,10,37,47,28,3,7,14,19,-22.0
22024,1610612741,CHI,Chicago Bulls,0022400655,2025-01-27,CHI vs. DEN,W,240,129,49,98,0.5,24,53,0.453,7,8,0.875,13,34,47,35,11,5,17,14,8.0
22024,1610612741,CHI,Chicago Bulls,0022400642,2025-01-25,CHI vs. PHI,L,240,97,36,85,0.424,12,38,0.316,13,20,0.65,13,41,54,24,6,3,19,16,-12.0
22024,1610612741,CHI,Chicago Bulls,0022400628,2025-01-23,CHI @ GSW,L,241,106,34,87,0.391,16,40,0.4,22,27,0.815,10,32,42,22,7,2,11,16,-25.0
22024,1610612741,CHI,Chicago Bulls,0022400611,2025-01-20,CHI @ LAC,W,240,112,38,94,0.404,15,46,0.326,21,26,0.808,17,37,54,25,7,6,10,17,13.0
22024,1610612741,CHI,Chicago Bulls,0022400597,2025-01-19,CHI @ POR,L,241,102,36,81,0.444,8,29,0.276,22,26,0.846,8,28,36,21,10,7,14,19,-11.0
22024,1610612741,CHI,Chicago Bulls,0022400584,2025-01-17,CHI vs. CHA,L,240,123,48,95,0.505,14,40,0.35,13,14,0.929,12,33,45,34,9,3,13,18,-2.0
22024,1610612741,CHI,Chicago Bulls,0022400563,2025-01-15,CHI vs. ATL,L,240,94,39,88,0.443,6,27,0.222,10,10,1.0,8,45,53,23,5,5,20,15,-16.0
22024,1610612741,CHI,Chicago Bulls,0022400557,2025-01-14,CHI vs. NOP,L,240,113,45,102,0.441,14,43,0.326,9,12,0.75,18,39,57,31,8,6,15,19,-6.0
22024,1610612741,CHI,Chicago Bulls,0022400541,2025-01-12,CHI vs. SAC,L,241,119,43,93,0.462,18,37,0.486,15,20,0.75,8,37,45,26,4,4,7,18,-5.0
22024,1610612741,CHI,Chicago Bulls,0022400530,2025-01-10,CHI vs. WAS,W,240,138,53,95,0.558,23,49,0.469,9,14,0.643,11,44,55,39,11,7,13,12,33.0
22024,1610612741,CHI,Chicago Bulls,0022400510,2025-01-08,CHI @ IND,L,239,113,44,86,0.512,12,35,0.343,13,19,0.684,9,30,39,23,6,6,18,24,-16.0
22024,1610612741,CHI,Chicago Bulls,0022400498,2025-01-06,CHI vs. SAS,W,239,114,44,102,0.431,13,39,0.333,13,15,0.867,14,33,47,25,12,4,13,9,4.0
22024,1610612741,CHI,Chicago Bulls,0022400482,2025-01-04,CHI vs. NYK,W,241,139,51,94,0.543,20,37,0.541,17,18,0.944,9,34,43,36,6,4,12,21,13.0
22024,1610612741,CHI,Chicago Bulls,0022400456,2025-01-01,CHI @ WAS,L,240,107,41,92,0.446,14,47,0.298,11,14,0.786,8,36,44,28,11,6,20,13,-18.0
22024,1610612741,CHI,Chicago Bulls,0022400442,2024-12-30,CHI @ CHA,W,263,115,39,104,0.375,18,60,0.3,19,27,0.704,14,49,63,31,11,4,13,17,7.0
22024,1610612741,CHI,Chicago Bulls,0022400430,2024-12-28,CHI vs. MIL,W,239,116,45,95,0.474,14,36,0.389,12,17,0.706,11,41,52,33,4,6,11,16,5.0
22024,1610612741,CHI,Chicago Bulls,0022400413,2024-12-26,CHI @ ATL,L,239,133,53,98,0.541,22,43,0.512,5,6,0.833,9,27,36,36,8,1,14,26,-8.0
22024,1610612741,CHI,Chicago Bulls,0022400398,2024-12-23,CHI vs. MIL,L,239,91,36,90,0.4,10,48,0.208,9,12,0.75,9,37,46,27,9,1,15,15,-21.0
22024,1610612741,CHI,Chicago Bulls,0022400381,2024-12-21,CHI vs. BOS,L,240,98,37,98,0.378,14,41,0.341,10,11,0.909,10,33,43,28,8,4,12,14,-25.0
22024,1610612741,CHI,Chicago Bulls,0022400363,2024-12-19,CHI @ BOS,W,240,117,42,94,0.447,19,52,0.365,14,16,0.875,11,45,56,23,2,2,10,19,9.0
22024,1610612741,CHI,Chicago Bulls,0022401223,2024-12-16,CHI @ TOR,W,241,122,43,93,0.462,14,40,0.35,22,28,0.786,8,33,41,33,12,8,12,23,1.0
22024,1610612741,CHI,Chicago Bulls,0022401212,2024-12-13,CHI vs. CHA,W,239,109,37,93,0.398,14,51,0.275,21,25,0.84,14,38,52,27,12,11,16,19,14.0
22024,1610612741,CHI,Chicago Bulls,0022400347,2024-12-08,CHI vs. PHI,L,241,100,35,86,0.407,19,54,0.352,11,12,0.917,2,33,35,29,9,3,15,18,-8.0
22024,1610612741,CHI,Chicago Bulls,0022400336,2024-12-06,CHI vs. IND,L,240,123,46,97,0.474,21,50,0.42,10,12,0.833,8,30,38,33,8,6,12,13,-9.0
22024,1610612741,CHI,Chicago Bulls,0022400331,2024-12-05,CHI @ SAS,W,240,139,52,90,0.578,17,37,0.459,18,23,0.783,11,39,50,36,6,5,17,26,15.0
22024,1610612741,CHI,Chicago Bulls,0022400317,2024-12-02,CHI vs. BKN,W,239,128,48,92,0.522,16,47,0.34,16,19,0.842,11,43,54,33,8,5,16,16,26.0
