G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
1.0,2023-10-25,23-281,CHI,,OKC,L (-20),0,9:18,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8,6.4,3.0,Home
2.0,2023-10-27,23-283,CHI,,TOR,W (+1),0,10:59,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2.3,10.0,Home
3.0,2023-10-28,23-284,CHI,@,DET,L (-16),0,14:59,2.0,7.0,0.286,1.0,2.0,0.5,0.0,0.0,,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,5,4.7,-6.0,Home
4.0,2023-10-30,23-286,CHI,@,IND,W (+7),0,10:06,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0,0.5,-2.0,Home
5.0,2023-11-01,23-288,CHI,@,DAL,L (-9),0,10:37,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8,7.0,8.0,Home
6.0,2023-11-06,23-293,CHI,,UTA,W (+17),0,16:26,2.0,5.0,0.4,2.0,3.0,0.667,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8,4.6,6.0,Home
7.0,2023-11-08,23-295,CHI,,PHO,L (-1),0,9:52,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2,2.4,-4.0,Home
8.0,2023-11-12,23-299,CHI,,DET,W (+11),0,26:38,6.0,7.0,0.857,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,13,14.3,19.0,Home
9.0,2023-11-13,23-300,CHI,@,MIL,L (-9),0,25:30,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,5,2.1,-13.0,Home
10.0,2023-11-15,23-302,CHI,,ORL,L (-2),0,18:27,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,5,4.0,-6.0,Home
11.0,2023-11-17,23-304,CHI,,ORL,L (-6),0,13:36,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0,-1.2,-12.0,Home
12.0,2023-11-18,23-305,CHI,,MIA,W (+5),0,13:01,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2,0.5,16.0,Home
13.0,2023-11-20,23-307,CHI,,MIA,L (-18),0,12:02,1.0,3.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,6,5.2,2.0,Home
14.0,2023-11-22,23-309,CHI,@,OKC,L (-14),0,20:51,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,11,7.8,-9.0,Home
15.0,2023-11-24,23-311,CHI,@,TOR,L (-13),0,12:31,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2,1.2,-5.0,Home
16.0,2023-11-26,23-313,CHI,@,BRK,L (-9),0,14:07,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,5,3.9,-21.0,Home
17.0,2023-11-28,23-315,CHI,@,BOS,L (-27),0,23:55,4.0,10.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,10,5.4,-16.0,Home
18.0,2023-11-30,23-317,CHI,,MIL,W (+7),1,38:48,6.0,8.0,0.75,1.0,3.0,0.333,1.0,2.0,0.5,1.0,5.0,6.0,6.0,3.0,0.0,2.0,2.0,14,17.0,-8.0,Home
19.0,2023-12-02,23-319,CHI,,NOP,W (+6),0,32:42,6.0,9.0,0.667,1.0,4.0,0.25,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,15,12.4,8.0,Home
20.0,2023-12-06,23-323,CHI,,CHO,W (+11),0,21:53,3.0,9.0,0.333,2.0,4.0,0.5,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,4.0,2.0,8,1.1,11.0,Home
21.0,2023-12-08,23-325,CHI,@,SAS,W (+9),0,26:02,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,4,4.9,-2.0,Home
22.0,2023-12-11,23-328,CHI,@,MIL,L (-4),1,26:29,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-4.6,2.0,Home
23.0,2023-12-12,23-329,CHI,,DEN,L (-8),1,37:39,3.0,7.0,0.429,1.0,4.0,0.25,2.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,4.0,9,5.4,-6.0,Home
24.0,2023-12-14,23-331,CHI,@,MIA,W (+8),0,35:19,10.0,12.0,0.833,3.0,4.0,0.75,1.0,4.0,0.25,2.0,6.0,8.0,5.0,1.0,0.0,0.0,3.0,24,24.9,-1.0,Home
25.0,2023-12-16,23-333,CHI,@,MIA,L (-2),1,40:53,3.0,11.0,0.273,2.0,7.0,0.286,0.0,0.0,,1.0,3.0,4.0,3.0,2.0,1.0,2.0,4.0,8,4.3,6.0,Home
26.0,2023-12-18,23-335,CHI,@,PHI,W (+4),1,19:22,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,4,4.7,-23.0,Home
