G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,2023-10-25,23-281,CHI,,OKC,L (-20),0,9:18,3,5,.600,2,4,.500,0,0,,0,0,0,1,1,0,1,0,8,6.4,+3
2,2023-10-27,23-283,CHI,,TOR,W (+1),0,10:59,2,4,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,2.3,+10
3,2023-10-28,23-284,CHI,@,DET,L (-16),0,14:59,2,7,.286,1,2,.500,0,0,,2,1,3,3,0,0,0,0,5,4.7,-6
4,2023-10-30,23-286,CHI,@,IND,W (+7),0,10:06,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,1,0,2,0,0.5,-2
5,2023-11-01,23-288,CHI,@,DAL,L (-9),0,10:37,3,4,.750,2,3,.667,0,0,,0,1,1,1,0,0,0,1,8,7.0,+8
,2023-11-03,23-290,CHI,,BRK,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
,2023-11-04,23-291,CHI,@,DEN,L (-22),Inactive,,,,,,,,,,,,,,,,,,,,,
6,2023-11-06,23-293,CHI,,UTA,W (+17),0,16:26,2,5,.400,2,3,.667,2,2,1.000,0,1,1,0,0,0,1,0,8,4.6,+6
7,2023-11-08,23-295,CHI,,PHO,L (-1),0,9:52,1,2,.500,0,0,,0,0,,2,1,3,1,0,0,1,0,2,2.4,-4
8,2023-11-12,23-299,CHI,,DET,W (+11),0,26:38,6,7,.857,0,1,.000,1,2,.500,0,1,1,3,3,0,0,3,13,14.3,+19
9,2023-11-13,23-300,CHI,@,MIL,L (-9),0,25:30,2,4,.500,1,2,.500,0,0,,1,1,2,1,0,0,1,4,5,2.1,-13
10,2023-11-15,23-302,CHI,,ORL,L (-2),0,18:27,2,4,.500,1,3,.333,0,0,,1,1,2,2,0,0,1,1,5,4.0,-6
11,2023-11-17,23-304,CHI,,ORL,L (-6),0,13:36,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,-1.2,-12
12,2023-11-18,23-305,CHI,,MIA,W (+5),0,13:01,0,2,.000,0,2,.000,2,2,1.000,0,1,1,2,0,0,1,2,2,0.5,+16
13,2023-11-20,23-307,CHI,,MIA,L (-18),0,12:02,1,3,.333,0,1,.000,4,4,1.000,1,1,2,1,0,0,0,2,6,5.2,+2
14,2023-11-22,23-309,CHI,@,OKC,L (-14),0,20:51,4,7,.571,3,5,.600,0,0,,0,2,2,2,1,1,2,4,11,7.8,-9
