Date,Start (ET), , , ,Opponent, , ,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
"Wed, Oct 25, 2023",8:00p,,Box Score,,Oklahoma City Thunder,L,,104,124,0,1,L 1,"21,369",2:05,
"Fri, Oct 27, 2023",8:00p,,Box Score,,Toronto Raptors,W,OT,104,103,1,1,W 1,"19,555",2:45,
"Sat, Oct 28, 2023",7:00p,,Box Score,@,Detroit Pistons,L,,102,118,1,2,L 1,"20,062",2:10,
"Mon, Oct 30, 2023",7:00p,,Box Score,@,Indiana Pacers,W,,112,105,2,2,W 1,"15,021",2:26,
"Wed, Nov 1, 2023",8:30p,,Box Score,@,Dallas Mavericks,L,,105,114,2,3,L 1,"20,103",2:07,
"Fri, Nov 3, 2023",8:00p,,Box Score,,Brooklyn Nets,L,,107,109,2,4,L 2,"20,645",2:03,In-Season Tournament
"Sat, Nov 4, 2023",9:00p,,Box Score,@,Denver Nuggets,L,,101,123,2,5,L 3,"19,610",2:08,
"Mon, Nov 6, 2023",8:00p,,Box Score,,Utah Jazz,W,,130,113,3,5,W 1,"18,031",2:06,
"Wed, Nov 8, 2023",8:00p,,Box Score,,Phoenix Suns,L,OT,115,116,3,6,L 1,"18,220",2:36,
"Sun, Nov 12, 2023",7:00p,,Box Score,,Detroit Pistons,W,,119,108,4,6,W 1,"19,088",2:12,
"Mon, Nov 13, 2023",8:00p,,Box Score,@,Milwaukee Bucks,L,,109,118,4,7,L 1,"17,865",2:16,
"Wed, Nov 15, 2023",8:00p,,Box Score,,Orlando Magic,L,,94,96,4,8,L 2,"19,092",2:20,
"Fri, Nov 17, 2023",8:00p,,Box Score,,Orlando Magic,L,,97,103,4,9,L 3,"20,235",2:17,In-Season Tournament
"Sat, Nov 18, 2023",8:00p,,Box Score,,Miami Heat,W,,102,97,5,9,W 1,"18,063",2:18,
"Mon, Nov 20, 2023",8:00p,,Box Score,,Miami Heat,L,,100,118,5,10,L 1,"19,258",2:09,
"Wed, Nov 22, 2023",8:00p,,Box Score,@,Oklahoma City Thunder,L,,102,116,5,11,L 2,"18,203",2:14,
"Fri, Nov 24, 2023",7:30p,,Box Score,@,Toronto Raptors,L,,108,121,5,12,L 3,"19,800",2:12,In-Season Tournament
"Sun, Nov 26, 2023",7:30p,,Box Score,@,Brooklyn Nets,L,,109,118,5,13,L 4,"16,687",2:03,
